UserRecordId;check_date;check_time
112010042;07/12/2023;05:28:54
None;07/12/2023;06:44:40
None;07/12/2023;06:44:43
None;07/12/2023;06:44:47
None;07/12/2023;06:44:56
112010042;07/12/2023;06:45:03
112010002;07/12/2023;08:12:18
None;07/12/2023;08:23:04
112010016;07/12/2023;08:23:10
None;07/12/2023;08:34:48
None;07/12/2023;08:34:52
None;07/12/2023;08:34:56
None;07/12/2023;08:34:59
112010034;07/12/2023;08:35:06
112010015;07/12/2023;08:35:14
112010005;07/12/2023;08:43:43
None;07/12/2023;08:45:08
112010006;07/12/2023;08:45:13
None;07/12/2023;09:38:25
112010012;07/12/2023;09:38:30
112010016;07/12/2023;10:21:28
112010042;07/12/2023;12:40:11
112010013;07/12/2023;13:01:16
None;07/12/2023;13:24:52
None;07/12/2023;13:24:57
None;07/12/2023;13:26:27
None;07/12/2023;13:26:33
112010011;07/12/2023;14:30:33
112010026;07/12/2023;14:52:25
112010031;07/12/2023;14:57:41
112010005;07/12/2023;15:12:13
None;07/12/2023;16:07:58
112010002;07/12/2023;16:18:44
112010026;07/12/2023;16:23:17
None;07/12/2023;16:41:57
None;07/12/2023;16:42:01
112010015;07/12/2023;16:42:05
112010005;07/12/2023;16:56:17
None;07/12/2023;16:56:21
None;07/12/2023;16:56:25
None;07/12/2023;16:56:28
None;07/12/2023;16:56:33
None;07/12/2023;16:56:37
None;07/12/2023;17:00:58
112010013;07/12/2023;17:01:03
112010012;07/12/2023;17:02:49
112010042;07/12/2023;17:03:11
112010057;07/12/2023;17:03:18
None;07/12/2023;17:05:36
None;07/12/2023;17:05:39
112010013;07/12/2023;17:05:44
112010016;07/12/2023;17:07:20
None;07/12/2023;23:48:40
112010042;07/12/2023;23:48:46
